################################################################################
# Collectl:   V4.0.4-1  HiRes: 1  Options: -D /etc/collectl.conf 
# Host:       topstorlin  DaemonOpts: -P -f /var/www/html/des20/Data -r00:00,7 -m -F5  -oz
# Booted:     1469443666.05 [20160725-13:47:46]
# Distro:     CentOS Linux release 7.2.1511 (Core)   Platform: VirtualBox
# Date:       20160725-141115  Secs: 1469445075 TZ: +0300
# SubSys:     bcdfijmnst Options: z Interval: 10 NumCPUs: 2  NumBud: 2 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2194.920 Cores: 2  Siblings: 2 Nodes: 1
# Kernel:     3.10.0-327.18.2.el7.x86_64  Memory: 1274784 kB  Swap: 1048572 kB
# NumDisks:   2 DiskNames: sda sdb
# NumNets:    4 NetNames: enp0s3:1000 enp0s8:1000 enp0s9:1000 lo:??
# SCSI:       DA:0:00:00:00 CD:2:00:00:00 DA:3:00:00:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]AnonH [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [SOCK]Used [SOCK]Tcp [SOCK]Orph [SOCK]Tw [SOCK]Alloc [SOCK]Mem [SOCK]Udp [SOCK]Raw [SOCK]Frag [SOCK]FragMem [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot [INODE]NumDentry [INODE]openFiles [INODE]MaxFile% [INODE]used [NFS]ReadsS [NFS]WritesS [NFS]MetaS [NFS]CommitS [NFS]Udp [NFS]Tcp [NFS]TcpConn [NFS]BadAuth [NFS]BadClient [NFS]ReadsC [NFS]WritesC [NFS]MetaC [NFS]CommitC [NFS]Retrans [NFS]AuthRef [TCP]IpErr [TCP]TcpErr [TCP]UdpErr [TCP]IcmpErr [TCP]Loss [TCP]FTrans [BUD]1Page [BUD]2Pages [BUD]4Pages [BUD]8Pages [BUD]16Pages [BUD]32Pages [BUD]64Pages [BUD]128Pages [BUD]256Pages [BUD]512Pages [BUD]1024Pages
20160725 14:11:30 17 0 14 2 0 1 0 66 32 0 0 1136 948 61 566 1 1.07 0.88 0.66 1 0 1274784 489696 785088 63264 8488 195448 51192 85380 158076 18432 519096 5760 1048572 0 1048572 0 0 64 0 0 88092 2048 183 21768 0 0 0 0 27004 280 11 0 17 24 1 0 0 0 0 18 15 4 5 0 0 0 0 0 5 24 30 2048 183 2231 0 2 2 29384 2336 2 21594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 348 164 147 74 45 27 13 10 3 5 183
20160725 14:11:40 13 0 15 1 0 1 0 69 29 0 0 1061 910 76 572 3 0.91 0.85 0.65 2 0 1274784 495176 779608 63264 8488 195472 51204 85408 163600 20480 525284 5760 1048572 0 1048572 0 0 80 0 0 88092 2048 39 23684 0 0 0 0 27000 282 12 0 17 26 2 0 0 0 0 19 14 5 3 0 0 0 0 0 5 7 12 2048 39 2088 0 0 0 29394 2368 2 21605 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 108 67 81 74 59 23 13 9 3 4 183
20160725 14:11:50 17 0 15 2 0 1 0 64 34 0 0 1232 1190 87 573 5 0.99 0.87 0.66 5 0 1274784 496096 778688 63296 10536 195540 51228 85540 162016 20480 527348 5760 1048572 0 1048572 0 0 44 0 0 89108 4095 54 28673 0 0 0 0 27008 285 13 0 16 27 6 0 0 0 0 13 9 4 3 0 0 0 0 0 11 9 20 4095 54 4149 0 0 0 29424 2400 2 21627 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 85 164 108 77 27 6 4 4 5 182
20160725 14:12:00 14 0 14 1 0 1 0 70 29 0 0 1061 950 72 566 1 0.91 0.86 0.66 1 0 1274784 490908 783876 63264 8488 195544 51200 85424 159200 20480 519380 5760 1048572 0 1048572 0 0 80 0 0 88088 2049 75 23800 0 0 0 0 26976 281 11 0 16 25 1 0 0 0 0 17 12 5 3 0 0 0 0 0 5 13 18 2049 75 2125 0 0 0 29404 2336 2 21599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 432 222 212 145 79 25 7 5 4 5 182
20160725 14:12:10 13 3 19 3 0 1 0 61 37 0 0 1230 1275 92 578 1 1.87 1.07 0.74 1 0 1274784 498532 776252 63296 8488 195620 51704 85472 164380 20480 530240 5760 1048572 0 1048572 0 0 128 0 0 88092 2459 393 31999 0 0 0 0 27440 285 15 0 17 28 2 0 0 0 0 11 8 3 2 0 0 0 0 0 7 61 68 2459 393 2852 0 0 0 29525 2528 2 21696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 143 152 112 130 78 25 12 7 4 4 181
20160725 14:12:20 15 0 16 3 0 1 0 65 32 0 0 1140 1154 68 572 1 1.74 1.07 0.74 1 0 1274784 511140 763644 63296 10536 196380 51864 85912 172816 20480 537792 5760 1048572 0 1048572 0 0 96 0 0 89832 4167 129 24191 0 0 0 0 27584 284 14 0 17 27 2 0 0 0 0 11 9 3 2 0 0 0 0 0 11 24 35 4167 129 4297 0 0 0 29534 2560 2 21690 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 98 76 21 32 33 28 10 5 3 5 180
20160725 14:12:30 12 1 15 1 0 1 0 70 29 0 0 1026 875 62 568 0 1.47 1.04 0.73 0 0 1274784 496028 778756 63264 8488 196376 51816 85472 160148 20480 520616 5760 1048572 0 1048572 0 0 96 0 0 88804 2049 94 20788 0 0 0 0 27532 281 12 0 16 25 3 0 0 0 0 21 15 5 3 0 0 0 0 0 5 16 21 2049 94 2143 0 0 0 29468 2368 2 21622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 363 373 227 140 88 28 11 7 3 5 180
20160725 14:12:40 16 0 15 1 0 1 0 66 33 0 0 1076 913 67 574 0 1.63 1.08 0.75 1 0 1274784 497776 777008 63264 8488 196412 51828 85480 161228 20480 522752 5760 1048572 0 1048572 0 0 100 0 0 88808 2048 47 23650 0 0 0 0 27560 282 13 0 19 26 3 0 0 0 0 15 11 4 3 0 0 0 0 0 5 8 13 2048 47 2095 0 0 0 29505 2400 2 21646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 237 147 225 140 81 29 11 7 4 5 180
20160725 14:12:50 14 0 12 3 0 1 0 70 28 0 0 1057 1062 59 567 0 1.52 1.08 0.75 0 0 1274784 497276 777508 63264 10536 196436 51716 85504 159356 20480 519380 5760 1048572 0 1048572 0 0 128 0 0 89828 4096 42 21071 0 0 0 0 27460 279 11 0 16 23 1 0 0 0 0 14 10 3 2 0 0 0 0 0 11 7 18 4096 42 4138 0 0 0 29467 2304 2 21607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 457 272 196 130 90 19 11 7 4 5 180
20160725 14:13:00 11 0 12 2 0 1 0 73 25 0 0 900 770 48 569 2 1.37 1.06 0.75 1 0 1274784 505268 769516 63264 8488 196464 51916 85544 168676 20480 539068 5760 1048572 0 1048572 0 0 68 0 0 88772 2047 94 16912 0 0 0 0 27660 288 13 0 18 30 4 0 0 0 0 32 25 7 9 0 0 0 0 0 5 14 19 2047 94 2141 0 0 0 29489 2432 2 21628 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 94 85 47 68 25 13 5 5 5 180
